index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
0,-1.09,-40.3,-26.93,-60.38,-219.79,215.73,27.09,284.92,46.92,1.46,-75.51,-71.74,0.857,18.827,10.105,1.136
1,-1.09,-40.16,-28.28,-55.86,-224.49,233.93,35.72,310.44,27.78,-3.81,-97.71,-66.49,0.815,15.866,13.049,0.765
2,-1.07,-41.88,-25.09,-41.73,-225.12,202.62,25.98,329.09,4.65,-4.96,-118.98,-49.33,0.743,18.55,7.536,1.299
3,-0.97,-40.9,-28.32,-53.96,-221.63,228.12,33.56,312.55,21.69,-3.34,-100.04,-64.83,0.814,19.783,10.956,0.916
4,-1.13,-40.25,-27.76,-67.51,-232.63,250.07,56.36,334.75,-19.6,-11.81,-116.61,-50.34,1.122,7.141,7.67,0.524
5,-0.97,-40.43,-26.94,-58.84,-223.94,237.08,72.82,396.83,-156.63,-28.92,-186.99,30.41,0.611,14.065,5.559,0.539
6,-0.81,-39.87,-28.23,-58.6,-225.74,223.92,41.69,337.98,-2.07,-9.25,-126.04,-49.77,0.652,19.187,13.545,0.876
7,-1.41,-43.99,-27.42,-59.73,-250.78,267.61,19.74,257.75,106.7,8.56,-23.48,-93.22,1.401,17.948,13.024,0.641
8,-1.6,-41.88,-27.25,-57.26,-222.51,220.93,52.79,374.04,-72.74,-17.25,-162.8,-12.04,0.564,16.879,11.721,1.212
9,-1.14,-39.49,-28.24,-57.46,-226.91,230.84,58.21,385.47,-94.54,-19.95,-172.69,-0.52,0.543,16.482,12.598,0.962
10,-0.77,-41.47,-26.91,-58.93,-224.85,227.28,57.08,376.83,-71.05,-18.52,-164.37,-13.9,0.624,13.513,10.066,0.857
11,-0.62,-41.38,-27.79,-58.57,-223.48,212.79,56.71,377.05,-89.95,-18.78,-167.04,-3.05,0.576,20.205,6.487,1.123
12,-1.23,-41.74,-25.32,-58.75,-213.28,212.84,32.68,286.52,31.68,-0.06,-76.21,-67.61,1.067,16.493,5.184,0.924
13,-0.71,-42.01,-28.36,-61.62,-232.32,252.51,19.4,222.08,97.15,14.33,9.51,-90.87,1.627,15.859,6.87,0.579
14,-1.06,-42.4,-28.43,-56.33,-226.63,220.25,67.94,394.11,-130.22,-25.89,-186.16,19.72,0.528,8.342,9.115,0.689
15,-1.34,-43.31,-30.22,-58.03,-260.51,294.97,20.4,250.3,99.99,9.49,-2.55,-97.1,1.726,13.088,13.776,0.56
16,-0.85,-40.63,-28.57,-58.54,-225.66,218.76,38.4,310.93,25.16,-4.67,-100.54,-64.16,0.835,12.073,10.095,0.782
17,-1.01,-41.9,-28.48,-57.56,-226.25,217.18,39.2,341.82,-0.1,-8.36,-128.79,-49.57,0.66,19.464,13.968,1.083
18,-1.05,-41.79,-27.49,-57.03,-221.85,214.86,28.43,286.24,46.03,1.17,-75.02,-73.72,0.959,20.378,7.578,0.961
19,-1.02,-41.04,-27.51,-64.86,-231.85,222.34,59.06,356.08,-30.47,-16.05,-140.4,-38.85,0.892,12.725,5.91,0.576
20,-1.2,-41.81,-26.78,-56.54,-226.85,223.4,55.73,367.37,-48.47,-16.28,-152.66,-28.29,0.755,18.919,5.676,0.598
21,-0.78,-40.19,-29.12,-56.37,-226.12,221.51,67.0,391.12,-131.42,-25.09,-180.7,17.19,0.578,19.361,5.057,0.86
22,-1.09,-43.97,-27.63,-60.6,-232.89,243.27,18.18,221.6,104.0,13.82,10.62,-90.51,1.703,16.806,5.882,0.591
23,-1.17,-41.45,-28.62,-54.85,-227.82,217.18,50.84,361.53,-49.65,-15.24,-151.86,-24.74,0.679,8.751,9.937,0.807
