index,Xt,Yt,Zt,Vxt,Vyt,Vzt,X0,Y0,Z0,Vx0,Vy0,Vz0,M_mw(1e12 M_sun),M_lmc(1e10 M_sun),concentration(c),flattening(q)
0,-1.09,-37.17,-29.11,-59.13,-248.36,183.48,24.1,279.81,87.43,1.2,-69.17,-80.27,0.857,18.827,10.105,1.136
1,-0.37,-40.98,-29.81,-57.55,-224.64,216.29,62.58,375.0,-102.95,-21.73,-166.48,-0.72,0.718,13.845,6.008,0.646
2,-1.74,-42.36,-24.84,-58.8,-222.45,236.74,42.18,337.83,-2.78,-8.09,-121.25,-51.51,0.814,19.783,10.956,0.916
3,-0.78,-37.86,-28.76,-59.86,-218.53,219.7,47.79,338.8,-38.19,-11.69,-132.56,-32.05,0.643,16.827,11.491,1.064
4,-1.07,-42.53,-29.15,-59.37,-223.64,239.81,56.45,343.79,-56.46,-14.25,-132.33,-34.67,1.122,7.141,7.67,0.524
5,-1.45,-39.83,-28.72,-69.5,-225.85,164.26,47.29,323.7,-0.63,-8.12,-119.52,-42.92,0.797,18.191,5.843,1.355
6,-1.12,-40.6,-26.88,-54.93,-167.76,190.03,31.02,240.06,-9.83,1.05,-63.99,-51.72,0.806,8.614,6.334,1.278
7,-0.78,-40.03,-27.69,-59.7,-234.07,239.78,81.67,420.51,-204.15,-34.57,-205.5,57.63,0.611,14.065,5.559,0.539
8,-0.96,-37.19,-24.9,-55.34,-203.67,218.99,26.42,261.43,27.33,2.06,-63.73,-62.87,0.799,11.508,10.409,1.112
9,-0.72,-40.32,-28.44,-57.14,-213.9,211.83,48.38,341.42,-47.81,-12.23,-139.3,-25.62,0.614,13.688,10.837,1.076
10,-1.27,-39.91,-29.36,-55.41,-228.88,220.12,41.99,333.38,-8.38,-7.68,-120.55,-47.68,0.841,15.328,8.964,0.921
11,-0.53,-41.33,-27.63,-62.07,-225.37,234.45,52.31,366.67,-49.79,-15.59,-151.44,-26.92,0.652,19.187,13.545,0.876
12,-0.95,-42.41,-30.01,-56.34,-248.4,255.81,24.92,269.91,86.01,5.61,-37.15,-91.09,1.401,17.948,13.024,0.641
13,-0.9,-43.26,-27.2,-57.52,-224.64,201.9,45.52,365.51,-43.76,-12.88,-156.27,-23.85,0.564,16.879,11.721,1.212
14,-0.81,-41.88,-25.5,-59.75,-221.96,234.84,53.29,359.24,-64.35,-15.72,-149.65,-20.61,0.766,8.396,10.311,0.772
15,0.1,-39.29,-29.87,-57.43,-245.54,234.37,46.07,359.98,-17.12,-10.73,-137.86,-45.64,0.893,12.875,12.758,0.553
16,-1.67,-41.13,-30.24,-53.63,-268.12,271.99,21.51,250.25,111.56,8.86,-7.4,-94.4,1.667,20.345,13.84,0.585
17,-1.27,-41.54,-26.56,-60.08,-221.85,245.22,51.68,348.21,-44.01,-13.51,-135.67,-34.5,0.859,10.058,11.708,0.715
18,-1.3,-41.23,-28.23,-54.04,-228.55,225.8,55.74,389.45,-93.55,-19.39,-175.56,-0.48,0.543,16.482,12.598,0.962
19,-1.07,-40.78,-27.31,-55.57,-228.37,229.47,58.3,386.02,-92.67,-19.61,-172.24,-2.05,0.624,13.513,10.066,0.857
20,-0.99,-38.87,-27.37,-57.09,-212.24,214.04,55.45,355.39,-89.6,-17.51,-153.66,-4.86,0.576,20.205,6.487,1.123
21,-0.89,-38.29,-25.46,-54.98,-200.21,220.69,32.61,270.07,11.36,0.05,-65.96,-63.21,1.067,16.493,5.184,0.924
